areaDescription,metar,"time",Temperature,Humidity,Pressure,Visibility,"Wind_Speed","Dew_Point"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T00:00:00.000-0400","65.500000","20.500000","30.050000","10.000000","9.000000","24.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T01:00:00.000-0400","62.000000","23.000000","30.070000","10.000000","9.000000","24.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T02:00:00.000-0400","60.500000","25.000000","30.065000","10.000000","9.000000","24.500000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T03:00:00.000-0400","58.000000","25.000000","30.080000","10.000000","8.000000","22.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T04:00:00.000-0400","58.000000","25.000000","30.080000","10.000000","8.000000","22.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T05:00:00.000-0400","54.000000","28.000000","30.080000","10.000000","9.000000","22.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T06:00:00.000-0400","54.000000","30.000000","30.090000","10.000000","8.000000","23.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T07:00:00.000-0400","54.000000","31.000000","30.090000","10.000000","6.000000","24.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T08:00:00.000-0400","54.000000","32.000000","30.100000","10.000000","0.000000","25.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T09:00:00.000-0400","55.000000","31.000000","30.100000","10.000000","8.000000","25.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T10:00:00.000-0400","55.000000","31.000000","30.120000","10.000000","6.000000","25.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T11:00:00.000-0400","56.000000","30.000000","30.125000","10.000000","7.000000","25.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T12:00:00.000-0400","59.000000","29.000000","30.130000","10.000000","13.000000","27.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T13:00:00.000-0400","60.000000","30.000000","30.140000","10.000000","7.000000","29.000000"
"10 Miles SSE Billings MT",KBIL,"2015-10-01T14:00:00.000-0400","61.000000","31.000000","30.150000","10.000000","3.000000","30.000000"
